scope,birth_parent_residue,child_residue,new_prime_remainder,is_birth,is_close,final_transition_label,transition_sequence,component_delta_sequence,phase_remainder_sequence
B6_birth_parent_siblings,141,4761,3,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>3
B6_birth_parent_siblings,141,7071,12,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>12
B6_birth_parent_siblings,141,9381,8,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>8
B6_birth_parent_siblings,141,11691,4,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>4
B6_birth_parent_siblings,141,14001,0,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>0
B6_birth_parent_siblings,141,16311,9,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>9
B6_birth_parent_siblings,141,18621,5,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>5
B6_birth_parent_siblings,141,20931,1,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>1
B6_birth_parent_siblings,141,23241,10,True,True,close,start>split>partial_close>miss>trim>close,0>1>-1>0>0>-1,1>0>1>1>9>10
B6_birth_parent_siblings,141,25551,6,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>6
B6_birth_parent_siblings,141,27861,2,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>2
B6_birth_parent_siblings,170,170,1,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>1
B6_birth_parent_siblings,170,2480,10,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>10
B6_birth_parent_siblings,170,4790,6,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>6
B6_birth_parent_siblings,170,7100,2,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>2
B6_birth_parent_siblings,170,9410,11,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>11
B6_birth_parent_siblings,170,11720,7,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>7
B6_birth_parent_siblings,170,14030,3,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>3
B6_birth_parent_siblings,170,16340,12,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>12
B6_birth_parent_siblings,170,18650,8,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>8
B6_birth_parent_siblings,170,20960,4,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>4
B6_birth_parent_siblings,170,23270,0,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>0
B6_birth_parent_siblings,170,25580,9,False,False,miss,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,0>2>0>2>5>9
B6_birth_parent_siblings,170,27890,5,True,True,close,start>trim>miss>trim>trim>close,0>0>0>0>0>-1,0>2>0>2>5>5
