birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
7,277131,6861,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,278379,8109,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,279789,9519,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,281091,10821,17,13,1,17/22-11/14,1/77,1/17,60/1309,1/119
7,281668,11398,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,281882,11612,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,282621,12351,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,282969,12699,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,283761,13491,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,283989,13719,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,284661,14391,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,284756,14486,17,6,1,9/26-5/14,1/91,1/17,74/1547,5/221
7,286419,16149,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,286539,16269,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,287074,16804,17,12,1,15/22-7/10,1/55,1/17,38/935,1/187
7,288231,17961,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,288298,18028,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,288512,18242,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,290109,19839,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,290391,20121,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,291535,21265,17,2,1,1/10-3/22,2/55,1/17,21/935,2/187
7,291801,21531,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,293679,23409,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,293841,23571,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,293872,23602,17,10,1,15/26-13/22,2/143,1/17,109/2431,4/221
7,294928,24658,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,295142,24872,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,295209,24939,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,295371,25101,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,297021,26751,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,297249,26979,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,298941,28671,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,299679,29409,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,300819,519,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,301083,783,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,301976,1676,17,5,1,3/10-7/22,1/55,1/17,38/935,1/187
7,302511,2211,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,303651,3351,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,304389,4089,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,305061,4761,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,306081,5781,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,306309,6009,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,306429,6129,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,307959,7659,17,4,1,3/14-5/22,1/77,1/17,60/1309,1/119
7,308188,7888,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,308402,8102,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,309651,9351,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,311529,11229,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,312039,11739,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,312939,12639,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
