selection_group,parent_residue,lift_remainder,child_residue,transition_label,phase_margin,phase_rank,aperture_tension,obstruction_bucket
capacity_top_200,5836,10,6131956,miss,-12/133,4,12/133,pure_miss
capacity_top_200,5836,11,5621446,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,5836,12,5110936,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,5836,13,4600426,miss,-14/209,3,14/209,pure_miss
capacity_top_200,5836,14,4089916,miss,-25/209,5,25/209,pure_miss
capacity_top_200,5836,15,3579406,miss,-36/209,7,36/209,pure_miss
capacity_top_200,5836,16,3068896,miss,-47/209,9,47/209,pure_miss
capacity_top_200,5836,17,2558386,miss,-58/209,11,58/209,pure_miss
capacity_top_200,5836,18,2047876,miss,-69/209,13,69/209,pure_miss
capacity_top_200,6176,0,516686,miss,-80/209,15,80/209,pure_miss
capacity_top_200,6176,1,6176,miss,-69/209,13,69/209,pure_miss
capacity_top_200,6176,2,9195356,miss,-58/209,11,58/209,pure_miss
capacity_top_200,6176,3,8684846,miss,-47/209,9,47/209,pure_miss
capacity_top_200,6176,4,8174336,miss,-36/209,7,36/209,pure_miss
capacity_top_200,6176,5,7663826,miss,-25/209,5,25/209,pure_miss
capacity_top_200,6176,6,7153316,miss,-14/209,3,14/209,pure_miss
capacity_top_200,6176,7,6642806,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,6176,8,6132296,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,6176,9,5621786,miss,-12/133,4,12/133,pure_miss
capacity_top_200,6176,10,5111276,miss,-1/7,6,1/7,pure_miss
capacity_top_200,6176,11,4600766,miss,-26/133,8,26/133,pure_miss
capacity_top_200,6176,12,4090256,miss,-33/133,10,33/133,pure_miss
capacity_top_200,6176,13,3579746,miss,-40/133,12,40/133,pure_miss
capacity_top_200,6176,14,3069236,miss,-47/133,14,47/133,pure_miss
capacity_top_200,6176,15,2558726,miss,-54/133,16,54/133,pure_miss
capacity_top_200,6176,16,2048216,miss,-61/133,18,61/133,pure_miss
capacity_top_200,6176,17,1537706,miss,-102/209,19,102/209,pure_miss
capacity_top_200,6176,18,1027196,miss,-91/209,17,91/209,pure_miss
capacity_top_200,6638,0,3580208,miss,-80/209,15,80/209,pure_miss
capacity_top_200,6638,1,3069698,miss,-69/209,13,69/209,pure_miss
capacity_top_200,6638,2,2559188,miss,-58/209,11,58/209,pure_miss
capacity_top_200,6638,3,2048678,miss,-47/209,9,47/209,pure_miss
capacity_top_200,6638,4,1538168,miss,-36/209,7,36/209,pure_miss
capacity_top_200,6638,5,1027658,miss,-25/209,5,25/209,pure_miss
capacity_top_200,6638,6,517148,miss,-14/209,3,14/209,pure_miss
