parent_rank,source_lineage_id,source_lineage_role,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,lift_remainder,child_residue,transition_label,component_delta,phase_margin,phase_rank,is_close
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,18,2602,miss,0,-69/209,13,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,0,2555614,miss,0,-80/209,15,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,1,2045104,miss,0,-91/209,17,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,2,1534594,miss,0,-102/209,19,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,3,1024084,miss,0,-61/133,18,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,4,513574,miss,0,-54/133,16,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,5,3064,miss,0,-47/133,14,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,6,9192244,miss,0,-40/133,12,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,7,8681734,miss,0,-33/133,10,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,8,8171224,miss,0,-26/133,8,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,9,7660714,miss,0,-1/7,6,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,10,7150204,miss,0,-12/133,4,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,11,6639694,trim,0,-5/133,2,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,12,6129184,trim,0,-3/209,1,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,13,5618674,miss,0,-14/209,3,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,14,5108164,miss,0,-25/209,5,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,15,4597654,miss,0,-36/209,7,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,16,4087144,miss,0,-47/209,9,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,17,3576634,miss,0,-58/209,11,False
9,B7_birth_parent_siblings:capacity_nonclose_control:3064:3064,capacity_nonclose,3064,1,4/77,4/77,18,3066124,miss,0,-69/209,13,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,0,1534934,miss,0,-80/209,15,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,1,1024424,miss,0,-69/209,13,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,2,513914,miss,0,-58/209,11,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,3,3404,miss,0,-47/209,9,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,4,9192584,miss,0,-36/209,7,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,5,8682074,miss,0,-25/209,5,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,6,8171564,miss,0,-14/209,3,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,7,7661054,trim,0,-3/209,1,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,8,7150544,trim,0,-5/133,2,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,9,6640034,miss,0,-12/133,4,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,10,6129524,miss,0,-1/7,6,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,11,5619014,miss,0,-26/133,8,False
10,B7_birth_parent_siblings:capacity_nonclose_control:3404:3404,capacity_nonclose,3404,1,4/77,4/77,12,5108504,miss,0,-33/133,10,False
