seed_n,cohort_role,n,bin_index,max_branch,full_uncovered_measure,exact_complete,k50,k90,k99,k50_censored,k90_censored,k99_censored,a_branch1,a_last,residual_last,cumulative_arc_width_last
421678,complete,421678,10,1000,0,True,914,,,False,True,True,0.9451391841471213,0.4653967147626809,0.492410771417384,0.7543535576552198
421678,local_mod6_control,421672,10,1000,0.04523629717505928,False,711,,,False,True,True,0.945134441191596,0.4719724808613043,0.474204982556785,0.7543535576552199
421678,band_mod6_control,421696,10,1000,0.039998244732535215,False,718,,,False,True,True,0.9451368127424672,0.4698257933873574,0.47487485766942344,0.7543559290598741
421678,band_ordinary_control,421697,10,1000,0.06643941148566107,False,645,,,False,True,True,0.9451344413715539,0.47016123411885735,0.4594561354075526,0.7543583004307873
421682,complete,421682,10,1000,0,True,960,,,False,True,True,0.9451391841471213,0.4696406755553742,0.4969010738658249,0.7543535576552199
421682,local_mod6_control,421676,10,1000,0.021263531327466334,False,741,,,False,True,True,0.9451344411915958,0.4636335159191894,0.4788222898551713,0.7543535576552198
421682,band_mod6_control,421694,10,1000,0.06646476736050483,False,617,,,False,True,True,0.9451368127424672,0.47161640479294553,0.46109539908751696,0.7543559290598741
421682,band_ordinary_control,421696,10,1000,0.039998244732535215,False,718,,,False,True,True,0.9451368127424672,0.4698257933873574,0.47487485766942344,0.7543559290598741
749878,complete,749878,11,1000,0,True,,,,True,True,True,0.947452881854966,0.4926076581474371,0.5199283970544135,0.7097119539277563
749878,local_mod6_control,749872,11,1000,0.016475382389012028,False,,,,True,True,True,0.9474502147544508,0.49344205782618905,0.5123303647481973,0.7097119539277563
749878,band_mod6_control,749896,11,1000,0.06263132229687407,False,807,,,False,True,True,0.947450214804244,0.4904046134195204,0.4834585865480752,0.7097146209784783
749878,band_ordinary_control,749894,11,1000,0.048954815059446544,False,913,,,False,True,True,0.947450214804244,0.49283526343673073,0.49402640069538584,0.7097146209784783
749901,complete,749901,11,1000,0,True,,,,True,True,True,0.9474488812913311,0.4908526361405402,0.518078226522923,0.7097159544913912
749901,local_mod6_control,749895,11,1000,0.006733296630037522,False,,,,True,True,True,0.947450214804244,0.4901110654849846,0.5138397742363477,0.7097146209784783
749901,band_mod6_control,749889,11,1000,0.01551729337811869,False,,,,True,True,True,0.947452881854966,0.48863797365699246,0.5076753008779724,0.7097119539277562
749901,band_ordinary_control,749894,11,1000,0.048954815059446544,False,913,,,False,True,True,0.947450214804244,0.49283526343673073,0.49402640069538584,0.7097146209784783
749908,complete,749908,11,1000,0,True,,,,True,True,True,0.9474515482922616,0.4937132841245509,0.5210960761153925,0.7097159544913912
749908,local_mod6_control,749902,11,1000,0.029302954651830304,False,,,,True,True,True,0.947448881291331,0.49150633022817747,0.5034094931598231,0.7097159544913912
749908,band_mod6_control,749896,11,1000,0.06263132229687407,False,807,,,False,True,True,0.947450214804244,0.4904046134195204,0.4834585865480752,0.7097146209784783
749908,band_ordinary_control,749894,11,1000,0.048954815059446544,False,913,,,False,True,True,0.947450214804244,0.49283526343673073,0.49402640069538584,0.7097146209784783
