source,n,next_n,a_n,a_next,abs_delta_a,component_count_n,component_count_next,abs_delta_component_count,max_gap_n,max_gap_next,abs_delta_max_gap,c0_n,c0_next
data/summaries/prc_v0_covering_candidate_windows.csv,372718,372719,0.00469687192152457,0.09436074132052352,0.08966386939899895,122,3557,3435,0.00018881860337260914,0.0002385905202628713,4.977191689026217e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372719,372720,0.09436074132052352,0.07447677605324315,0.019883965267280368,3557,2454,1103,0.0002385905202628713,0.00021379496595697045,2.4795554305900858e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372720,372721,0.07447677605324315,0.04277226695366444,0.03170450909957871,2454,1817,637,0.00021379496595697045,0.00028683217445368836,7.303720849671791e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372721,372722,0.04277226695366444,0.003663720754014388,0.039108546199650054,1817,133,1684,0.00028683217445368836,0.00013036475442734785,0.0001564674200263405,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372722,372723,0.003663720754014388,0.03189601019240029,0.028232289438385905,133,976,843,0.00013036475442734785,0.00022384448769074972,9.347973326340187e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372723,372724,0.03189601019240029,0.02790484031148044,0.003991169880919854,976,772,204,0.00022384448769074972,0.00020225697062037362,2.1587517070376094e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372724,372725,0.02790484031148044,0.030584090439760292,0.002679250128279853,772,1008,236,0.00020225697062037362,0.0002587342784777791,5.6477307857405457e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372725,372726,0.030584090439760292,0.060024595415130444,0.029440504975370152,1008,1872,864,0.0002587342784777791,0.00025234502748106014,6.389250996718943e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372726,372727,0.060024595415130444,0.09762406704303134,0.03759947162790089,1872,2953,1081,0.00025234502748106014,0.00030444348372227203,5.20984562412119e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372727,372728,0.09762406704303134,0.013907521057339778,0.08371654598569156,2953,441,2512,0.00030444348372227203,0.0001961869689435236,0.00010825651477874842,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372728,372729,0.013907521057339778,0.016617443204910154,0.002709922147570376,441,734,293,0.0001961869689435236,0.00017560145292461193,2.0585516018911676e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372729,372730,0.016617443204910154,0.027781624534227056,0.011164181329316902,734,773,39,0.00017560145292461193,0.00025711370580117077,8.151225287655883e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372730,372731,0.027781624534227056,0.08099442215391778,0.05321279761969072,773,2529,1756,0.00025711370580117077,0.0003044468074020479,4.7333101600877114e-05,False,False
