seed_n,cohort_role,n,control_delta,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
17266,complete_uncertified,17266,0,8,19,9699690,17266,46,1096,17278,5,11,12,1.2371529399393177e-06
17266,local_mod210_control,17056,-210,8,19,9699690,17056,46,886,17042,5,11,14,1.4433450965958706e-06
17266,local_any_control,17265,-1,8,19,9699690,17265,45,1095,17278,5,11,13,1.340249018267594e-06
17338,complete_uncertified,17338,0,8,19,9699690,17338,118,1168,17319,6,13,19,1.958825488237253e-06
17338,local_mod210_control,17128,-210,8,19,9699690,17128,118,958,17042,5,11,86,8.866262736231776e-06
17338,local_any_control,17337,-1,8,19,9699690,17337,117,1167,17319,6,13,18,1.8557294099089764e-06
17349,complete_uncertified,17349,0,8,19,9699690,17349,129,1179,17372,5,11,23,2.371209801550359e-06
17349,local_mod210_control,17139,-210,8,19,9699690,17139,129,969,17218,4,7,79,8.144590187933842e-06
17349,local_any_control,17348,-1,8,19,9699690,17348,128,1178,17372,5,11,24,2.4743058798786353e-06
17739,complete_uncertified,17739,0,8,19,9699690,17739,99,1569,17702,5,11,37,3.8145548981462296e-06
17739,local_mod210_control,17529,-210,8,19,9699690,17529,99,1359,17608,5,11,79,8.144590187933842e-06
17739,local_any_control,17738,-1,8,19,9699690,17738,98,1568,17702,5,11,36,3.711458819817953e-06
17751,complete_uncertified,17751,0,8,19,9699690,17751,111,1581,17702,5,11,49,5.051707838085547e-06
17751,local_mod210_control,17541,-210,8,19,9699690,17541,111,1371,17608,5,11,67,6.907437247994524e-06
17751,local_any_control,17750,-1,8,19,9699690,17750,110,1580,17702,5,11,48,4.948611759757271e-06
17762,complete_uncertified,17762,0,8,19,9699690,17762,122,1592,17702,5,11,60,6.185764699696588e-06
17762,local_mod210_control,17552,-210,8,19,9699690,17552,122,1382,17608,5,11,56,5.773380386383483e-06
17762,local_any_control,17761,-1,8,19,9699690,17761,121,1591,17702,5,11,59,6.082668621368312e-06
17769,complete_uncertified,17769,0,8,19,9699690,17769,129,1599,17702,5,11,67,6.907437247994524e-06
17769,local_mod210_control,17559,-210,8,19,9699690,17559,129,1389,17608,5,11,49,5.051707838085547e-06
17769,local_any_control,17768,-1,8,19,9699690,17768,128,1598,17702,5,11,66,6.804341169666247e-06
17854,complete_uncertified,17854,0,8,19,9699690,17854,4,1684,17852,4,7,2,2.0619215665655295e-07
17854,local_mod210_control,17644,-210,8,19,9699690,17644,4,1474,17642,4,7,2,2.0619215665655295e-07
17854,local_any_control,17853,-1,8,19,9699690,17853,3,1683,17852,4,7,1,1.0309607832827648e-07
18009,complete_uncertified,18009,0,8,19,9699690,18009,159,1839,18032,5,11,23,2.371209801550359e-06
18009,local_mod210_control,17799,-210,8,19,9699690,17799,159,1629,17848,4,7,49,5.051707838085547e-06
18009,local_any_control,18008,-1,8,19,9699690,18008,158,1838,18032,5,11,24,2.4743058798786353e-06
18051,complete_uncertified,18051,0,8,19,9699690,18051,201,1881,18058,4,7,7,7.216725482979353e-07
18051,local_mod210_control,17841,-210,8,19,9699690,17841,201,1671,17848,4,7,7,7.216725482979353e-07
18051,local_any_control,18050,-1,8,19,9699690,18050,200,1880,18058,4,7,8,8.247686266262118e-07
18118,complete_uncertified,18118,0,8,19,9699690,18118,58,1948,18171,6,13,53,5.464092151398653e-06
18118,local_mod210_control,17908,-210,8,19,9699690,17908,58,1738,17938,5,11,30,3.092882349848294e-06
18118,local_any_control,18117,-1,8,19,9699690,18117,57,1947,18171,6,13,54,5.56718822972693e-06
18274,complete_uncertified,18274,0,8,19,9699690,18274,4,2104,18272,4,7,2,2.0619215665655295e-07
18274,local_mod210_control,18064,-210,8,19,9699690,18064,4,1894,18062,4,7,2,2.0619215665655295e-07
18274,local_any_control,18273,-1,8,19,9699690,18273,3,2103,18272,4,7,1,1.0309607832827648e-07
18669,complete_uncertified,18669,0,8,19,9699690,18669,189,189,18688,4,7,19,1.958825488237253e-06
18669,local_mod210_control,18459,-210,8,19,9699690,18459,189,2289,18478,4,7,19,1.958825488237253e-06
18669,local_any_control,18668,-1,8,19,9699690,18668,188,188,18688,4,7,20,2.0619215665655294e-06
18748,complete_uncertified,18748,0,8,19,9699690,18748,58,268,18789,7,17,41,4.226939211459335e-06
18748,local_mod210_control,18538,-210,8,19,9699690,18538,58,58,18561,7,17,23,2.371209801550359e-06
