selected_rank,seed_mod210,priority_label,direction_label,seed_n,cohort_role,n,control_delta,row_mod210,residue,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,complete_circular_residue_distance,distance_minus_complete,normalized_residue_distance
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,235101,local_any_control,235100,-1,110,235100,235078,5,11,22,23,-1,2.2681137232220826e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,235311,complete_uncertified,235311,0,111,235311,235348,8,19,37,37,0,3.8145548981462296e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,235311,local_mod210_control,235521,210,111,235521,235502,5,11,19,37,-18,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,235311,local_any_control,235310,-1,110,235310,235348,8,19,38,37,1,3.917650976474506e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,251481,complete_uncertified,251481,0,111,251481,251578,4,7,97,97,0,1.0000319597842817e-05
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,251481,local_mod210_control,251271,-210,111,251271,251248,5,11,23,97,-74,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,251481,local_any_control,251480,-1,110,251480,251578,4,7,98,97,1,1.0103415676171094e-05
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,253371,complete_uncertified,253371,0,111,253371,253322,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,253371,local_mod210_control,253161,-210,111,253161,253228,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,253371,local_any_control,253370,-1,110,253370,253322,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,257991,complete_uncertified,257991,0,111,257991,257979,7,17,12,12,0,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,257991,local_mod210_control,257781,-210,111,257781,257848,5,11,67,12,55,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,257991,local_any_control,257990,-1,110,257990,257979,7,17,11,12,-1,1.1340568616110413e-06
